iter	Passed	Remaining
804	18518	4485
805	18539	4462
806	18562	4439
807	18582	4415
808	18604	4392
809	18624	4368
810	18644	4345
811	18664	4321
812	18684	4297
813	18706	4274
814	18726	4250
815	18745	4226
816	18764	4203
817	18783	4179
818	18806	4156
819	18825	4132
820	18846	4109
821	18865	4085
822	18884	4061
823	18903	4037
824	18923	4014
825	18942	3990
826	18961	3966
827	18981	3943
828	19002	3919
829	19022	3896
830	19040	3872
831	19059	3848
832	19078	3824
833	19099	3801
834	19121	3778
835	19142	3755
836	19161	3731
837	19180	3707
838	19199	3684
839	19219	3660
840	19237	3637
841	19258	3613
842	19281	3590
843	19301	3567
844	19322	3544
845	19341	3520
846	19361	3497
847	19381	3473
848	19400	3450
849	19421	3427
850	19440	3403
851	19459	3380
852	19478	3356
853	19496	3333
854	19516	3309
855	19536	3286
856	19555	3263
857	19574	3239
858	19596	3216
859	19618	3193
860	19638	3170
861	19659	3147
862	19682	3124
863	19702	3101
864	19723	3078
865	19742	3054
866	19761	3031
867	19782	3008
868	19802	2985
869	19822	2961
870	19840	2938
871	19859	2915
872	19879	2892
873	19898	2868
874	19918	2845
875	19938	2822
876	19958	2799
877	19978	2776
878	19999	2753
879	20019	2729
880	20040	2706
881	20066	2684
882	20088	2661
883	20108	2638
884	20130	2615
885	20149	2592
886	20168	2569
887	20189	2546
888	20209	2523
889	20229	2500
890	20248	2477
891	20268	2454
892	20289	2431
893	20310	2408
894	20332	2385
895	20353	2362
896	20373	2339
897	20393	2316
898	20413	2293
899	20432	2270
900	20452	2247
901	20472	2224
902	20491	2201
903	20515	2178
904	20539	2156
905	20561	2133
906	20582	2110
907	20606	2087
908	20629	2065
909	20652	2042
910	20675	2019
911	20695	1996
912	20716	1974
913	20736	1951
914	20757	1928
915	20777	1905
916	20795	1882
917	20815	1859
918	20839	1836
919	20859	1813
920	20879	1790
921	20899	1768
922	20919	1745
923	20940	1722
924	20960	1699
925	20980	1676
926	21000	1653
927	21020	1630
928	21042	1608
929	21060	1585
930	21083	1562
931	21104	1539
932	21124	1516
933	21144	1494
934	21165	1471
935	21187	1448
936	21209	1426
937	21229	1403
938	21250	1380
939	21269	1357
940	21289	1334
941	21308	1312
942	21327	1289
943	21347	1266
944	21367	1243
945	21386	1220
946	21406	1198
947	21425	1175
948	21445	1152
949	21465	1129
950	21484	1107
951	21504	1084
952	21524	1061
953	21546	1038
954	21568	1016
955	21590	993
956	21611	971
957	21631	948
958	21651	925
959	21671	902
960	21690	880
961	21710	857
962	21730	834
963	21752	812
964	21773	789
965	21792	767
966	21812	744
967	21831	721
968	21853	699
969	21874	676
970	21894	653
971	21914	631
972	21951	609
973	21970	586
974	21990	563
975	22011	541
976	22033	518
977	22052	496
978	22073	473
979	22092	450
980	22111	428
981	22130	405
982	22149	383
983	22168	360
984	22188	337
985	22209	315
986	22231	292
987	22251	270
988	22272	247
989	22293	225
990	22313	202
991	22332	180
992	22351	157
993	22371	135
994	22392	112
995	22412	90
996	22432	67
997	22451	44
998	22471	22
999	22491	0
